stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-32053.047 1.564 172.842 -170.993 -52.849 -15.891 70.193 -330.436 637.771 311.378 -608.024 1291.434 552.564 -885.611 1945.096 788.926 -1157.647 2585.685 1 
-16358.782 1.810 2360.931 746.231 2178.792 519.615 1321.726 2586.682 264.800 1897.221 2994.573 9.984 2472.716 3402.463 -244.832 3036.701 3802.195 -494.551 0 
-549639.231 1.052 2468.258 -18.208 -2468.051 26.271 206.944 -2580.897 -680.179 432.096 -2693.743 -1386.630 657.248 -2806.589 -2093.081 877.897 -2917.178 -2785.402 0 
-3850155.145 1.489 138.526 3.179 7.270 -138.298 -558.906 -438.098 -357.860 -1120.991 -883.467 -577.421 -1683.076 -1328.836 -796.982 -2233.919 -1765.298 -1012.152 1 
-357589.742 1.670 2903.613 62.819 -36.177 2998.677 585.711 465.607 2805.552 1108.603 967.391 2612.428 1631.494 1469.175 2419.304 2143.928 1960.924 2230.042 0 
-14821.881 0.724 2433.583 -207.333 2424.694 -14.076 -314.072 3023.106 425.252 -420.811 3621.519 864.580 -527.550 4219.931 1303.909 -632.154 4806.375 1734.450 0 
-14197.430 0.581 150.954 -151.513 -3.776 8.065 -106.664 -206.767 -712.548 -61.814 -409.759 -1433.161 -16.964 -612.750 -2153.774 26.988 -811.681 -2859.975 0 
-346769.910 1.032 504.133 -30.782 468.522 183.546 600.430 731.834 -124.251 1231.641 995.146 -432.049 1862.852 1258.459 -739.846 2481.439 1516.504 -1041.487 1 
-6208061.243 1.390 356.115 5.999 -356.031 4.927 -515.748 -894.763 11.809 -1037.496 -1433.495 18.691 -1559.243 -1972.227 25.573 -2070.555 -2500.185 32.317 1 
-2286785.247 1.782 1854.044 -1841.275 -200.728 -83.033 -2218.724 301.378 326.750 -2596.173 803.484 736.532 -2973.622 1305.590 1146.315 -3343.522 1797.654 1547.902 1 
-92732.675 1.286 298.822 -291.702 57.700 29.578 -955.495 405.928 4.763 -1619.288 754.157 -20.052 -2283.081 1102.385 -44.867 -2933.598 1443.650 -69.185 1 
-1661103.494 0.814 2503.438 79.738 -2502.160 6.073 362.604 -2649.872 684.798 645.470 -2797.584 1363.523 928.336 -2945.295 2042.249 1205.545 -3090.053 2707.399 0 
-168463.487 1.322 2753.207 2750.544 -5.923 120.930 3261.501 467.605 398.767 3772.459 941.133 676.605 4283.416 1414.660 954.443 4784.155 1878.717 1226.724 0 
-2612735.166 1.876 87.343 65.643 10.914 56.575 681.820 107.900 473.011 1297.998 204.886 889.447 1914.175 301.873 1305.883 2518.029 396.919 1713.990 1 
-146756.743 0.635 14.417 -7.781 11.674 -3.322 -416.613 -456.662 -422.866 -825.445 -924.998 -842.410 -1234.277 -1393.335 -1261.955 -1634.932 -1852.304 -1673.108 1 
-3188664.762 0.877 2196.793 2196.710 -18.838 3.433 2430.362 -369.635 -616.928 2664.015 -720.431 -1237.289 2897.668 -1071.228 -1857.651 3126.647 -1415.009 -2465.605 0 
-12879.517 1.049 2580.173 27.762 -27.725 2584.706 -712.087 -144.292 2545.522 -1451.936 -260.858 2506.338 -2191.785 -377.425 2467.154 -2916.837 -491.661 2428.754 0 
-428440.069 1.755 366.356 -171.197 317.198 65.529 -249.785 736.108 682.650 -328.373 1155.019 1299.771 -406.961 1573.929 1916.892 -483.978 1984.461 2521.670 1 
-1821198.823 1.693 1889.287 671.238 22.252 1765.885 1180.922 162.892 2297.808 1690.606 303.532 2829.731 2200.290 444.172 3361.655 2699.781 582.000 3882.939 1 
-1746169.587 0.900 153.419 -27.155 -4.839 150.919 518.555 367.964 505.488 1064.265 740.767 860.057 1609.975 1113.570 1214.625 2144.770 1478.917 1562.103 1 
-36152.593 0.723 115.117 -5.993 -114.703 -7.688 -227.543 -584.776 533.096 -449.094 -1054.848 1073.880 -670.644 -1524.920 1614.665 -887.764 -1985.590 2144.633 1 
-4524904.788 1.461 64.949 55.087 31.093 14.729 506.135 185.664 593.662 957.183 340.234 1172.596 1408.231 494.805 1751.529 1850.259 646.284 2318.883 1 
-1923514.612 1.433 2000.087 -1973.249 16.546 326.127 -2460.872 -297.953 801.327 -2948.494 -612.452 1276.527 -3436.116 -926.951 1751.727 -3913.986 -1235.161 2217.423 1 
-19643.103 0.964 108.428 96.902 -40.674 -26.686 846.535 -63.654 -21.908 1596.168 -86.635 -17.130 2345.800 -109.615 -12.352 3080.440 -132.136 -7.670 1 
-2376465.997 1.558 2562.537 54.823 -2561.948 3.535 195.045 -2753.249 715.042 335.267 -2944.550 1426.549 475.489 -3135.851 2138.055 612.906 -3323.326 2835.332 0 
-1030737.361 1.059 1777.116 -111.853 -8.021 1773.575 541.156 335.221 1908.717 1194.165 678.464 2043.858 1847.175 1021.706 2179.000 2487.124 1358.084 2311.440 0 
-7035877.132 0.788 1773.370 -1629.511 -79.090 2777.360 -956.845 -54.171 2446.605 -284.179 -29.252 2115.850 388.488 -4.333 1785.095 1047.701 20.088 1460.955 0 
-531243.157 1.863 1425.792 750.409 -1211.541 -44.037 941.952 -1431.505 646.924 1133.495 -1651.470 1337.884 1325.038 -1871.434 2028.845 1512.750 -2087.000 2705.987 0 
-125166.287 1.164 135.107 19.349 -42.515 -267.243 343.230 24.926 405.849 667.112 92.366 1078.941 990.993 159.806 1752.033 1308.396 225.898 2411.663 1 
