stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-2462702.545 0.612 983.413 1864.359 1829.538 -1886.064 1566.219 59.902 -2762.950 -239.478 363.465 -925.796 -943.482 -890.099 -631.518 1556.774 -658.270 -129.731 0 
-234176.558 1.420 435.182 444.049 168.909 -18.145 -1008.027 349.845 -1377.618 -1671.223 1751.745 701.486 -3079.908 2161.464 664.304 -2453.894 -315.254 839.771 0 
-16482.201 1.967 1657.351 -372.468 1171.674 -1111.422 -525.577 1288.820 -3099.452 -1235.375 3574.812 -2100.327 -1907.020 4425.000 -3090.134 -2973.617 2222.932 -2335.099 0 
-12459.006 1.213 63.175 57.746 6.249 -24.849 2002.812 76.082 -473.479 752.732 1712.864 -2050.207 1594.683 2152.849 -3168.766 913.737 -305.588 -2946.927 1 
-408355.316 1.769 640.497 8.065 843.511 -1329.250 621.751 -818.760 -407.472 2713.868 424.403 -1304.922 3913.850 -419.745 -1271.746 1941.664 -1028.324 -2787.307 1 
-15574.795 0.810 51.740 21.402 -47.009 3.031 1137.193 -1636.725 469.123 -22.298 -803.061 2634.397 558.302 -1407.500 3839.055 1959.583 147.315 2364.005 1 
-380894.004 1.931 559.463 -15.317 -551.644 -91.941 1661.668 -1149.397 813.509 -294.890 -1392.351 2498.940 181.506 -1609.827 3869.851 667.901 595.234 2662.399 1 
-945097.041 1.293 1585.778 -1585.698 15.022 5.242 -2342.989 630.635 -1737.446 -3791.345 -1343.660 -881.730 -4684.321 -1864.917 -1923.137 -2143.630 -2055.461 -2178.864 0 
-188964.963 0.675 781.347 -705.093 128.926 311.006 -1943.910 1133.905 -890.983 -1441.711 2620.949 1174.040 -2359.587 3762.089 1268.637 -3238.450 1368.207 1500.454 0 
-4621087.220 0.819 1853.462 24.342 2742.357 115.855 -1148.638 1585.215 1244.822 -2590.015 3531.434 316.120 -3883.681 3635.640 1001.113 -1703.113 4049.953 2277.936 0 
-58385.779 1.756 201.763 70.864 8.026 -188.738 1327.457 -964.255 1021.663 -166.439 575.535 2479.451 350.558 712.889 3846.013 1690.474 1608.904 1856.392 1 
-59245.223 1.695 1033.585 -13.362 96.021 -1029.029 1364.333 1121.869 -2048.352 1426.042 1920.932 418.532 2197.874 3158.809 578.469 34.617 3147.220 -791.566 0 
-72513.495 1.974 748.943 -71.716 80.946 -741.094 1360.622 1386.156 -1225.104 2307.088 -1006.717 -1550.969 3765.250 -1005.575 -1716.514 2710.167 -251.512 491.426 0 
-33026.229 0.672 2926.190 -2945.908 1959.907 -11.015 -2692.606 3005.870 -1693.641 -3777.269 732.680 -2313.268 -3728.833 473.425 -3756.904 -1567.036 619.525 -2392.316 0 
-5597308.260 0.520 80.584 111.555 82.378 45.835 -1527.785 -1057.783 90.855 -2193.334 1274.802 -827.795 -3648.544 1462.654 -854.597 -2418.122 1181.036 1373.309 1 
-8151612.549 0.569 87.418 -4.920 -6.020 87.071 -169.708 556.692 1996.424 1978.103 -878.440 1761.621 2513.119 -1288.361 3065.219 225.497 -2129.048 2279.824 1 
-1092823.225 0.678 2276.062 2062.068 -958.923 -93.835 2310.398 -2213.172 -1628.312 3425.018 -3267.578 463.021 4290.034 -4400.844 115.027 4865.223 -2037.079 -684.088 0 
-168591.782 0.778 156.738 -155.065 -22.336 4.792 -1565.007 1189.014 735.629 -1163.768 -710.607 2455.591 -2214.482 -759.442 3478.948 -2769.431 -1242.965 1026.388 1 
-25505.370 0.675 1171.906 1195.948 38.738 376.597 -150.254 -492.459 1753.186 -419.027 2047.448 1301.017 -1253.135 2703.204 2314.867 999.142 1669.427 2959.352 0 
-9733813.573 1.288 122.533 100.708 -10.669 -90.630 -1473.280 76.057 -1317.198 -179.125 -2114.791 -1820.364 -612.113 -2735.059 -3077.913 536.250 -446.401 -3088.786 1 
-134808.445 1.573 940.686 134.774 -42.941 989.236 1079.777 1628.244 438.295 2838.716 -269.210 621.661 4211.981 248.070 607.165 2629.555 823.994 2536.168 0 
-979587.004 1.939 167.444 3.810 6.885 167.259 1699.048 -213.767 -865.654 36.974 1141.626 -2324.503 478.802 1236.659 -3720.713 -140.828 -1032.169 -2708.146 1 
-17854.767 0.702 626.312 -29.596 45.478 -2226.276 -316.736 795.186 -397.365 -2433.988 1288.476 -1812.191 -3313.361 2269.573 -1165.819 -970.207 2944.766 -1947.198 0 
-99736.425 1.815 53.502 4.644 48.821 21.388 -1962.910 -48.746 350.996 -937.178 1594.175 2076.252 -1874.530 1913.133 3159.433 -994.150 -473.555 2867.093 1 
-11929.384 1.904 1723.977 50.327 387.425 -1679.127 -566.868 -447.717 -3385.303 1993.548 -68.539 -3553.587 2485.181 -223.337 -4927.625 867.839 1671.244 -4334.684 0 
-23004.064 1.437 1882.639 242.212 833.215 -1808.045 -1410.175 1852.083 -2278.100 -1654.557 1000.406 159.676 -3031.336 1124.826 652.264 -2486.296 -453.130 -1289.332 0 
-12473.192 1.465 930.449 -150.215 -865.549 890.438 -880.438 -936.521 -967.293 594.027 -3038.634 -600.004 893.793 -3729.354 -1859.643 1774.293 -1362.268 -1437.230 0 
-27209.643 0.665 720.816 101.177 -713.611 -9.950 1713.060 -1312.341 1006.310 -214.349 -936.275 2700.858 266.345 -913.636 4087.243 993.338 900.524 2432.820 0 
-82312.396 0.882 127.225 1523.733 -50.549 -22.123 -373.625 -511.304 -443.033 1161.283 -1966.421 -1944.537 416.102 -2618.396 -3027.717 619.495 -67.159 -2946.261 1 
-578735.236 1.233 1251.629 -1251.612 -4.822 4.253 -2930.738 961.663 489.917 -2670.260 -1058.446 2095.886 -3902.569 -1330.365 2844.965 -3845.355 -1602.889 299.524 0 
-3794379.635 0.615 957.502 130.348 9.579 -948.540 -292.465 1725.966 -1878.418 -2489.583 800.258 -856.868 -3674.856 1488.587 -1381.247 -2199.979 82.265 -2931.668 1 
-641573.657 1.521 1367.395 -6.124 2362.503 -759.530 709.016 1499.889 893.921 -1631.757 493.752 407.818 -2153.690 -266.203 1549.614 -1773.292 2259.035 1737.451 0 
-6790456.081 1.160 60.748 -56.572 21.596 -4.855 -645.298 1748.912 807.063 -1331.954 1758.600 -1694.184 -1728.643 3095.151 -2152.347 678.599 2641.318 -1406.670 1 
-44645.159 1.053 306.305 -26.007 305.174 -3.908 1436.595 1072.737 -1126.882 976.537 2713.308 828.801 1609.631 4019.670 613.733 -252.812 3208.768 -945.290 0 
-57163.689 1.121 43.655 104.003 -181.257 -22.193 -30.298 1725.788 -600.612 1234.995 411.519 -2444.400 1892.693 1304.257 -3405.700 2636.052 1262.976 -955.695 1 
