stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-5824576.586 1.392 241.389 -241.229 7.919 -3.815 -757.677 1037.620 33.138 -1360.807 1720.457 -356.211 -1478.049 847.130 -1088.288 -1648.643 -81.476 -1746.781 -2215.397 -770.188 -2446.582 -3093.991 -805.782 -3137.826 -2485.482 -36.917 -3296.701 -1436.417 416.694 -3153.357 -302.515 779.229 -2965.204 1 
-178937.058 0.843 994.570 -705.302 10.377 936.896 -688.764 -878.475 203.384 -1090.897 -1400.938 -536.173 -1804.095 -508.229 -453.710 -2442.425 448.715 -411.066 -3126.110 1261.255 -808.068 -3814.221 1506.815 -1654.953 -3990.815 624.974 -1233.232 -3859.726 -54.455 -312.340 -3682.133 -665.027 711.490 0 
-881534.300 1.766 128.426 4.735 -11.909 138.580 -1074.385 137.143 -237.790 -1905.292 673.108 -300.710 -1204.270 1377.855 268.747 -445.716 2097.596 749.989 6.777 3100.068 1024.864 -225.153 4192.739 1082.231 -897.543 3612.813 1527.490 -1138.032 2588.197 1995.653 -1268.199 1492.524 2480.549 1 
-579718.350 1.466 183.581 20.065 -58.488 -173.576 -690.555 -867.756 236.883 -1534.645 -1137.862 679.802 -1667.338 -4.848 574.672 -1811.360 1117.659 364.291 -2389.202 2073.745 171.275 -3408.245 2527.144 254.898 -3091.279 2088.604 1087.900 -2196.647 1699.381 1700.263 -1187.737 1351.136 2260.079 1 
-8765166.018 1.199 867.008 893.740 805.732 65.795 405.121 103.042 837.709 85.216 -89.881 1755.350 410.770 1005.446 1836.935 653.569 2130.436 1858.619 577.444 3204.048 2214.735 212.663 3833.622 3064.196 784.704 3070.863 3342.848 1574.699 2288.770 3041.040 2414.900 1534.225 2619.982 1 
-2465293.751 1.975 354.228 249.077 -56.017 -249.332 113.013 -1170.246 12.104 169.608 -2130.511 -225.198 627.023 -1625.430 -1146.092 1170.434 -1093.645 -2010.345 1900.247 -987.819 -2871.409 2528.453 -1582.339 -3580.574 1581.598 -1878.813 -3533.168 495.496 -1617.883 -3251.837 -602.905 -1227.609 -2945.626 1 
-16699.590 1.714 920.579 -308.510 -891.443 338.055 -1166.051 -122.480 296.963 -1503.061 793.244 125.215 -403.616 876.835 -185.611 676.853 900.040 -581.937 1542.334 1255.788 -1221.969 1876.656 2103.135 -1871.002 1536.944 2385.092 -981.186 1299.273 2087.883 106.026 1112.107 1671.724 1221.529 0 
-172806.330 1.253 57.788 81.381 25.988 25.242 -558.347 -925.421 -92.823 -729.353 -1810.799 -503.295 292.580 -1533.692 -940.612 1359.768 -1270.822 -1282.714 2417.008 -1472.606 -1638.779 3066.438 -2265.190 -2087.180 2209.153 -2124.633 -2568.827 1318.147 -1426.200 -2781.312 450.366 -606.344 -2946.712 1 
-61303.268 1.222 1154.256 1154.237 -5.346 -3.874 1788.854 236.881 927.232 2394.898 -40.110 1660.452 2281.707 -1009.044 1059.839 2226.520 -1936.504 380.282 2580.642 -2908.616 -83.240 3319.385 -3737.862 49.506 2789.136 -3534.493 864.463 1841.147 -3056.954 1311.813 806.826 -2548.247 1663.898 0 
-203846.787 1.097 1271.241 -28.915 1263.615 -135.997 1054.137 1310.193 255.408 1993.641 995.692 248.593 1530.605 396.095 -610.746 1060.343 -115.021 -1528.699 1042.553 -603.921 -2551.399 1701.861 -1081.143 -3318.592 1821.348 -1443.144 -2401.337 1381.294 -1576.177 -1345.163 813.437 -1675.132 -286.715 0 
-203869.480 1.126 264.201 -119.315 11.039 537.566 -297.115 -366.837 -536.663 -552.335 -209.286 -1480.943 -570.728 849.745 -1044.484 -483.004 1908.172 -600.570 -317.458 3029.666 -610.708 -283.573 3915.691 -1292.487 -1095.877 3354.091 -1399.470 -1796.935 2563.562 -940.744 -2471.249 1755.343 -353.675 1 
-10678.991 0.716 116.008 3.689 115.679 -7.921 512.913 543.878 -949.041 919.436 1296.049 -1449.642 708.059 1770.113 -428.386 574.191 2185.906 636.612 790.287 2853.301 1527.198 1308.940 3799.333 1822.215 705.838 3896.272 1038.922 -182.859 3474.241 439.792 -1132.694 2956.479 -91.530 0 
-285494.963 1.155 1955.844 -1958.249 3.073 5.999 -1947.862 -1081.951 -382.569 -2415.777 -1887.325 -720.286 -3270.326 -1129.614 -630.832 -4085.955 -317.378 -624.015 -5046.118 194.875 -941.724 -6007.554 19.618 -1485.726 -5805.819 -661.654 -791.573 -5216.376 -932.886 160.183 -4569.437 -1096.835 1163.755 0 
-2100553.153 0.942 652.853 -6.310 -371.235 -536.993 365.028 -1456.049 -653.853 692.333 -2307.647 -267.490 453.214 -1692.272 668.735 109.997 -1085.809 1584.939 -268.682 -921.428 2640.797 -395.381 -1432.064 3627.818 517.633 -1512.996 3245.023 1301.359 -1101.350 2508.022 2047.610 -572.094 1723.443 1 
-34313.900 1.382 48.876 -41.390 21.946 13.933 176.564 1055.293 475.517 655.113 1633.330 1122.425 1143.304 612.550 1301.477 1680.208 -402.136 1386.155 2538.773 -1109.253 1605.488 3523.906 -1172.987 2131.286 2788.355 -812.464 2693.127 1652.855 -714.813 2860.317 450.899 -699.003 2947.597 1 
-2127457.970 0.901 1952.885 -73.447 2820.886 769.243 447.584 1824.741 1023.392 1254.469 1305.889 1271.089 1642.741 2383.470 1292.165 1974.131 3480.446 1401.020 2587.655 4346.858 1798.732 3537.452 4588.133 2337.884 3656.368 3979.057 1562.279 3229.695 3573.003 572.370 2699.524 3239.160 -457.209 0 
-91196.486 1.565 329.068 -72.311 -1966.457 -20.468 15.200 -836.898 191.215 469.334 35.638 72.611 1060.171 -643.884 -635.585 1567.638 -1328.188 -1409.684 2131.213 -1585.518 -2359.116 2765.775 -1137.249 -3163.727 3064.418 -915.513 -2242.682 3040.377 -1184.929 -1123.001 2963.019 -1574.007 15.068 0 
-12531.513 0.800 124.941 4.088 -95.374 -201.477 -411.532 -175.765 870.516 -1088.262 -501.370 1516.768 -1424.678 -999.186 541.379 -1676.554 -1561.503 -430.929 -2094.559 -2400.540 -1068.538 -2788.457 -3277.232 -1038.054 -3184.377 -2435.933 -688.567 -3141.896 -1285.455 -650.565 -3015.297 -88.056 -703.242 0 
-398123.215 1.215 1540.550 -1725.424 -2360.845 -67.203 -1301.277 -1352.643 -430.517 -1258.991 -617.043 -1092.883 -2098.251 -1274.037 -1512.861 -3001.217 -1901.821 -1852.809 -3994.832 -2105.104 -2359.426 -4711.512 -1685.142 -3108.435 -3771.873 -1727.770 -3427.715 -2725.189 -2192.957 -3305.639 -1682.424 -2761.699 -3101.337 0 
